Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,QM24S2402528,0.0,725.4,0.09120000359951336,0.05202484455216966,0.7495198173700668,0.9578947368421052,0.005162966526507043,0.027492686140911465,0.1344452012691189,0.02775665349868993,0.022862535143550647,0.020658860218441995,0.2435897435897436,0.023047457264837073,0.09667194928684629,0.3651349046717832,0.5406698564593301,0.0
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,USUG12400910,0.00020012007204322593,545.9,0.07560557256005557,0.04761590200392621,0.6655289492631553,0.9578947368421052,0.00712784835794701,0.05595649857487794,0.01572724978385198,0.001500520070656581,0.0008932681956034339,0.021452213224199154,0.21794871794871795,0.022936646773277232,0.10459587955625992,0.21624261696823857,0.5263157894736842,1.0
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,QZJ842400387,0.0004002401440864519,538.4,0.14044441329375557,0.09202376052480475,0.8066056074371496,0.9578947368421052,0.0075108765755546305,0.03576735234272824,0.07052212285599353,0.011721547685353224,0.01444534237190776,0.051275716758566355,0.2202797202797203,0.041810992175766816,0.21394611727416799,0.7535989002330788,0.8181818181818181,0.0
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,USSM12209777,0.0006003602161296778,444.9,0.4744353405249799,0.4569869798150717,0.5205736840817878,0.8842105263157894,0.06715165074086085,0.1705917852203475,0.1675946426012737,0.04595500037881338,0.06261450604585897,0.45971512401726555,0.458041958041958,0.8295588392460387,0.41679873217115687,0.5121441622840887,0.9999999999999999,0.0
Houdini,Houdini,Eminem,2024-05-31,USUG12403398,0.0008004802881729037,423.3,0.024999336623505574,0.012232571295971653,0.577372502964273,0.9157894736842105,0.004740194958314011,0.058900578217505,0.000382261081171587,0.0005054656014441976,0.00030247233854476083,0.015468913800113695,0.21095571095571097,0.006853375782563942,0.12836767036450078,0.36641931883723694,0.4976076555023923,1.0
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,USAT22311371,0.0010006003602161296,410.1,0.15664356757586234,0.179357408903591,0.6686694778953722,0.863157894736842,0.00803462239320338,0.0223486151452114,0.09795725170063523,0.009156574784181054,0.012599826309681754,0.3933248086569783,0.15967365967365968,0.29364274022533343,0.1347068145800317,0.3561829699080555,0.722488038277512,1.0
Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,USWB12307016,0.0012007204322593554,407.2,0.2102451200840546,0.12384504506335632,0.7684039431171081,0.894736842105263,0.01891360985675901,0.06613157894652376,0.020975633744575766,0.0012603158772896475,0.0022934870845647613,0.631243447618208,0.32517482517482516,0.2157019029030099,0.2646592709984152,1.0,0.7320574162679425,0.0
Gata Only,Gata Only,FloyyMenor,2024-02-02,QZL382406049,0.0014008405043025814,375.8,0.15767445589777476,0.0679092330337014,0.8051924635134635,0.9578947368421052,0.01399161146616398,0.02310132147448272,0.08158506017680793,0.014422060020035175,0.016312423096289108,0.2898033630460084,0.18531468531468534,0.009686074439900777,0.1362916006339144,0.6897733963189934,0.24880382775119617,1.0
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,2024-06-09,TCJPA2463708,0.0016009605763458075,355.7,0.3860865440349845,0.0,5.3365166824295296e-08,0.5578947368421052,0.07983255022906177,0.13647074058896955,0.04227719601267745,0.0006021615497222597,0.0010667717412719603,0.08738514134290415,0.16472416472416473,0.012838079809803449,0.06814580031695722,0.01511283902593523,0.07177033492822966,1.0
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,USSM12404354,0.0018010806483890333,330.6,0.02117860262734406,0.01761375088712396,0.702130905036293,0.894736842105263,0.002005441465763995,0.015866453059110414,0.007594382461407517,0.005179063549893739,0.0041789071804230644,0.023966240587958026,0.22144522144522147,0.0021498360342218797,0.1220285261489699,0.22407840233700055,0.43540669856459324,1.0
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,USUM72404990,0.0020012007204322593,322.1,0.05840972360457043,0.02746993094406927,0.6433024373285865,0.9473684210526315,0.001974430709302166,0.008829334150993254,0.007901297775477028,7.859556990515414e-06,9.003816782496767e-06,0.04487570827076299,0.18181818181818182,0.03504930223139705,0.09350237717908083,0.2491619906108258,0.5406698564593301,1.0
The Door,The Door,Teddy Swims,2024-06-14,USWB12402486,0.0022013207924754855,320.2,0.025961671817364234,1.6937927576809267e-06,0.0010054226137555051,0.43157894736842106,0.05623714164035146,0.05792483530851208,0.1490003608935593,0.016596281144573774,0.020619683976140255,0.12131645169637055,0.005050505050505051,0.0001349975531693488,0.004226096143687269,0.00045959865691654967,0.004784688995215311,1.0
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401991,0.0024014408645187113,316.3,0.05176615641408995,0.023372646263239108,0.7519940704590894,0.9578947368421052,0.0024518905923593313,0.020979630709455323,0.00455242434854136,0.0019548674892225395,0.0015435982208941985,0.046930161610962105,0.2832167832167832,0.023255016002834947,0.21711568938193343,0.7934718207030359,0.7751196172248803,0.0
Like That,WE DON'T TRUST YOU,Future,2024-03-22,USSM12402041,0.002601560936561937,308.2,0.08295878752767379,0.07287373960646419,0.41231693894292665,0.9157894736842105,0.006008824867023638,0.023369042402905906,0.010743566683999223,0.0018939394825278593,0.0020398582500045187,0.023936683981843048,0.17715617715617718,0.05075683003245566,0.0855784469096672,0.06228130637116192,0.5167464114832535,1.0
